track_id,track_name,primary_artist_id,track_popularity,album_name,duration_ms,is_explicit
3JsydWaf2Ev4ehaLUjj3SY,Confident,,87,Journals,248133,False
6I3mqTwhRpn34SLVafSH7G,Ghost,,85,Justice,153190,False
6epn3r7S14KUqlReYr77hA,Baby,,86,My World 2.0,214240,False
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,,84,Purpose (Deluxe),205680,False
69u7FJV6RIbQS3VuqLPSwl,bad guy,,63,Playlist for Gamers,194839,False
6hvRoJ0BTZywxu8UCPBkzx,I Don't Care,,77,+-=÷× (Tour Collection),219946,False
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,,94,$ome $exy $ongs 4 U,241023,True
1zi7xx7UVEFkmKfv06H8x0,One Dance,,89,Views,173986,False
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,,87,More Life,298940,True
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,,87,$ome $exy $ongs 4 U,195431,True
78O33U6jbQtNiNfbkZudpd,She Will,,82,Tha Carter IV (Explicit Version),305840,True
6DCZcSspjsKoFjzjrWoCdn,God's Plan,,86,Scorpion,198973,True
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),,85,I NEVER LIKED YOU,189893,True
6LxSe8YmdPxy095Ux6znaQ,Headlines,,85,Take Care (Deluxe),235986,True
1C7KSXR2GVxknex6I4ANco,9,,84,Views,255786,True
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),,83,"Honestly, Nevermind",218364,True
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),,89,eternal sunshine,228639,False
1edcyazKIdKrIuz9cWpXU6,twilight zone,,81,eternal sunshine deluxe: brighter days ahead (a cappella version),198320,False
142PiXzA84lmEw2RstFHFa,supernatural,,87,eternal sunshine,163381,False
7xoUc6faLbCqZO6fQEYprd,One Last Time,,86,My Everything (Deluxe),197266,False
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,,83,After Hours (Deluxe),191013,False
76FZM38RC8XaAjJ77CVTNe,Into You,,84,Dangerous Woman,244453,False
6ocbgoVGwYJhOv1GgI9NsF,7 rings,,85,"thank u, next",178626,True
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,,82,Dangerous Woman,235946,False
0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,,83,eternal sunshine,173639,True
44ONERBHALxftQNWq6dmyd,Side To Side,,82,Dangerous Woman,226160,True
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),,88,I'm Good (Blue),175238,True
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),,86,Nothing but the Beat (Ultimate Edition),245040,False
4TwEdnSiTPDR1vg1QZ5K8W,Beautiful People,,87,Beautiful People,187086,False
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,,87,I Don't Wanna Wait,149667,False
7fLzbEOBOae9lUnOwr7Tse,Memories (feat. Kid Cudi),,83,One More Love,210093,False
2dGxjfhFXDIUX9h5ImyKkE,Sexy Bitch (feat. Akon),,83,One More Love,195853,True
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,,83,Baby Don't Hurt Me,140017,False
5YPMEOJ58kfl56VHxTgwx3,Play Hard (feat. Ne-Yo & Akon),,79,Nothing but the Beat (Ultimate Edition),201000,False
7ks6AZmFcm3Y6PGGxGSmlB,Where Them Girls At (feat. Nicki Minaj & Flo Rida),,78,Nothing but the Beat (Ultimate Edition),194840,True
3bg2qahpZmsg5wV2EMPXIk,Forever Young,,82,Forever Young,156923,False
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),,92,GNX,177598,False
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),,94,Black Panther The Album Music From And Inspired By,232186,True
